Ex-Date,Symbol, Speed, Reliability, Grade, Dividend, Yield
1/21/2020 12:00:00 AM,ARDC,4.9,8,13.875,$0.11,0.68 %
1/21/2020 12:00:00 AM,LOW,5,8,14,$0.55,0.45 %
1/21/2020 12:00:00 AM,MAIN,3.8,7,10.75,$0.20,0.46 %
1/21/2020 12:00:00 AM,MSM,3.3,2,0.3333333333333339,$5.75,7.37 %
1/21/2020 12:00:00 AM,TSU,4.9,9,15.88888888888889,$0.10,0.49 %
1/21/2020 12:00:00 AM,WST,5,8,14,$0.16,0.10 %
Ex-Date,Symbol, Speed, Reliability, Grade, Dividend, Yield
1/22/2020 12:00:00 AM,AGX,3.6,5,3.571428571428571,$0.25,0.57 %
1/22/2020 12:00:00 AM,BGH,3.9,7,10.875,$0.14,0.77 %
1/22/2020 12:00:00 AM,CL,4.3,6,5.285714285714285,$0.43,0.61 %
1/22/2020 12:00:00 AM,COO,4.3,6,5.285714285714285,$0.03,0.01 %
1/22/2020 12:00:00 AM,CVS,4.3,6,5.285714285714285,$0.50,0.66 %
1/22/2020 12:00:00 AM,FMN,3.3,5,3.2857142857142847,$0.05,0.35 %
1/22/2020 12:00:00 AM,LTC,3.5,6,4.5,$0.19,0.41 %
1/22/2020 12:00:00 AM,MXF,4,4,3,$0.25,1.67 %
1/22/2020 12:00:00 AM,SUNS,3.7,7,10.666666666666666,$0.12,0.66 %
Ex-Date,Symbol, Speed, Reliability, Grade, Dividend, Yield
1/23/2020 12:00:00 AM,BDGE,3.8,7,10.777777777777779,$0.24,0.73 %
1/23/2020 12:00:00 AM,COG,4.9,9,15.88888888888889,$0.10,0.59 %
1/23/2020 12:00:00 AM,CPTA,3.8,4,2.8,$0.08,0.93 %
1/23/2020 12:00:00 AM,COKE,4.1,8,13.11111111111111,$0.25,0.09 %
1/23/2020 12:00:00 AM,RQI,4.8,9,15.777777777777779,$0.08,0.56 %
1/23/2020 12:00:00 AM,CLB,3.6,7,10.555555555555555,$0.25,0.62 %
1/23/2020 12:00:00 AM,DEX,3.2,6,4.222222222222221,$0.09,0.86 %
1/23/2020 12:00:00 AM,DX,4.8,9,15.777777777777779,$0.15,0.83 %
1/23/2020 12:00:00 AM,EOI,3.3,5,3.2857142857142847,$0.09,0.56 %
1/23/2020 12:00:00 AM,EVT,3.3,5,3.2857142857142847,$0.14,0.55 %
1/23/2020 12:00:00 AM,ETJ,3.3,5,3.2857142857142847,$0.08,0.79 %
1/23/2020 12:00:00 AM,ETY,3.3,5,3.2857142857142847,$0.08,0.66 %
1/23/2020 12:00:00 AM,ENIC,0,0,0,$0.00,0.00 %
1/23/2020 12:00:00 AM,EFF,3.3,5,3.2857142857142847,$0.09,0.53 %
1/23/2020 12:00:00 AM,ETX,3.3,5,3.2857142857142847,$0.07,0.33 %
1/23/2020 12:00:00 AM,EOT,3.3,5,3.2857142857142847,$0.07,0.33 %
1/23/2020 12:00:00 AM,ETO,3.3,5,3.2857142857142847,$0.18,0.68 %
1/23/2020 12:00:00 AM,ETG,3.3,5,3.2857142857142847,$0.10,0.55 %
1/23/2020 12:00:00 AM,ETB,3.3,5,3.2857142857142847,$0.11,0.64 %
1/23/2020 12:00:00 AM,ETV,3.3,5,3.2857142857142847,$0.11,0.72 %
1/23/2020 12:00:00 AM,EXD,3.3,5,3.2857142857142847,$0.07,0.68 %
1/23/2020 12:00:00 AM,ETW,3.3,5,3.2857142857142847,$0.07,0.69 %
1/23/2020 12:00:00 AM,EXG,3.3,5,3.2857142857142847,$0.06,0.68 %
1/23/2020 12:00:00 AM,BUSE,3.3,6,4.333333333333334,$0.22,0.80 %
1/23/2020 12:00:00 AM,DFP,3.4,6,4.375,$0.14,0.52 %
1/23/2020 12:00:00 AM,FFC,3.4,6,4.375,$0.11,0.50 %
1/23/2020 12:00:00 AM,FLC,3.4,6,4.375,$0.12,0.50 %
1/23/2020 12:00:00 AM,PFD,3.4,6,4.375,$0.07,0.47 %
1/23/2020 12:00:00 AM,GLAD,5,3,3,$0.07,0.67 %
1/23/2020 12:00:00 AM,GOOD,5,3,3,$0.13,0.56 %
1/23/2020 12:00:00 AM,GAIN,5,1,1,$0.07,0.51 %
1/23/2020 12:00:00 AM,LAND,5,3,3,$0.04,0.33 %
1/23/2020 12:00:00 AM,HCAP,3.9,7,10.875,$0.08,0.89 %
1/23/2020 12:00:00 AM,HGLB,3.4,6,4.375,$0.08,0.90 %
1/23/2020 12:00:00 AM,HFRO,3.1,6,4.125,$0.08,0.63 %
1/23/2020 12:00:00 AM,KALU,3.9,7,10.88888888888889,$0.67,0.64 %
1/23/2020 12:00:00 AM,LKFN,3.9,7,10.88888888888889,$0.30,0.61 %
1/23/2020 12:00:00 AM,LEN,3.9,7,10.88888888888889,$0.12,0.20 %
1/23/2020 12:00:00 AM,LEN.B,3.9,7,10.88888888888889,$0.12,0.25 %
1/23/2020 12:00:00 AM,USA,4.1,8,13.11111111111111,$0.17,2.40 %
1/23/2020 12:00:00 AM,HIE,3.4,5,3.428571428571429,$0.12,1.00 %
1/23/2020 12:00:00 AM,NVT,0,0,0,$0.17,0.69 %
1/23/2020 12:00:00 AM,NHF,3.8,7,10.75,$0.20,1.15 %
1/23/2020 12:00:00 AM,OCCI,3.3,5,3.2857142857142847,$0.17,1.00 %
1/23/2020 12:00:00 AM,OVBC,4.1,8,13.11111111111111,$0.21,0.56 %
1/23/2020 12:00:00 AM,PBA,3.6,5,3.571428571428571,$0.16,0.42 %
1/23/2020 12:00:00 AM,PNR,4.4,8,13.444444444444445,$0.19,0.40 %
1/23/2020 12:00:00 AM,PG,3.9,7,10.88888888888889,$0.75,0.59 %
1/23/2020 12:00:00 AM,PPT,3.6,6,4.625,$0.04,0.63 %
1/23/2020 12:00:00 AM,SAR,2.3,5,2.333333333333334,$0.56,1.98 %
1/23/2020 12:00:00 AM,SNX,4.8,9,15.777777777777779,$0.40,0.27 %
1/23/2020 12:00:00 AM,TPZ,3.3,5,3.2857142857142847,$0.12,0.72 %
1/23/2020 12:00:00 AM,SBI,3.2,6,4.222222222222221,$0.02,0.24 %
1/23/2020 12:00:00 AM,EMD,3.2,6,4.222222222222221,$0.10,0.67 %
1/23/2020 12:00:00 AM,HIO,3.2,6,4.222222222222221,$0.03,0.62 %
1/23/2020 12:00:00 AM,MMU,3.2,6,4.222222222222221,$0.04,0.33 %
1/23/2020 12:00:00 AM,DMO,3.2,6,4.222222222222221,$0.15,0.71 %
1/23/2020 12:00:00 AM,WSM,4.1,8,13.11111111111111,$0.48,0.63 %
1/23/2020 12:00:00 AM,EHI,3.2,6,4.222222222222221,$0.07,0.65 %
1/23/2020 12:00:00 AM,GDO,3.2,6,4.222222222222221,$0.10,0.56 %
1/23/2020 12:00:00 AM,HIX,3.2,6,4.222222222222221,$0.05,0.71 %
1/23/2020 12:00:00 AM,HYI,3.2,6,4.222222222222221,$0.09,0.60 %
1/23/2020 12:00:00 AM,IGI,3.2,6,4.222222222222221,$0.08,0.34 %
1/23/2020 12:00:00 AM,MTT,3.2,6,4.222222222222221,$0.06,0.28 %
1/23/2020 12:00:00 AM,WEA,3.2,6,4.222222222222221,$0.07,0.45 %
1/23/2020 12:00:00 AM,GFY,3.2,6,4.222222222222221,$0.08,0.47 %
1/23/2020 12:00:00 AM,WIA,3.2,6,4.222222222222221,$0.03,0.28 %
1/23/2020 12:00:00 AM,WIW,3.2,6,4.222222222222221,$0.04,0.31 %
Ex-Date,Symbol, Speed, Reliability, Grade, Dividend, Yield
1/24/2020 12:00:00 AM,ALX,2.8,5,2.7777777777777777,$4.50,1.29 %
1/24/2020 12:00:00 AM,BK,5,4,4,$0.31,0.67 %
1/24/2020 12:00:00 AM,DHC,4,8,13,$0.15,1.78 %
1/24/2020 12:00:00 AM,HFBL,4.3,8,13.333333333333332,$0.16,0.46 %
1/24/2020 12:00:00 AM,OPI,4,8,13,$0.55,1.61 %
1/24/2020 12:00:00 AM,OKE,3.8,6,4.75,$0.94,1.21 %
1/24/2020 12:00:00 AM,RMR,4,8,13,$0.38,0.84 %
1/24/2020 12:00:00 AM,RY,3.9,7,10.88888888888889,$0.81,0.99 %
1/24/2020 12:00:00 AM,SVC,4,8,13,$0.54,2.25 %
1/24/2020 12:00:00 AM,SLP,3.9,7,10.88888888888889,$0.06,0.18 %
1/24/2020 12:00:00 AM,TRMT,0,0,0,$0.22,3.71 %
1/24/2020 12:00:00 AM,UNB,3.9,7,10.875,$0.32,0.86 %
1/24/2020 12:00:00 AM,VNO,2.8,5,2.7777777777777777,$0.66,0.98 %
1/24/2020 12:00:00 AM,WIT,0,0,0,$0.00,0.00 %
Ex-Date,Symbol, Speed, Reliability, Grade, Dividend, Yield
1/27/2020 12:00:00 AM,CVLY,5,4,4,$0.16,0.71 %
1/27/2020 12:00:00 AM,GBX,3.9,7,10.88888888888889,$0.27,1.02 %
Ex-Date,Symbol, Speed, Reliability, Grade, Dividend, Yield
1/28/2020 12:00:00 AM,CLX,4.9,8,13.875,$1.06,0.67 %
1/28/2020 12:00:00 AM,ENTG,4.9,9,15.88888888888889,$0.08,0.14 %
1/28/2020 12:00:00 AM,MMC,4.2,7,11.25,$0.46,0.40 %
1/28/2020 12:00:00 AM,VSEC,4.8,9,15.777777777777779,$0.09,0.26 %
Ex-Date,Symbol, Speed, Reliability, Grade, Dividend, Yield
1/29/2020 12:00:00 AM,FRC,3.9,7,10.88888888888889,$0.19,0.16 %
1/29/2020 12:00:00 AM,F,4,4,3,$0.15,1.64 %
1/29/2020 12:00:00 AM,MSB,4.4,5,4.4,$0.70,3.07 %
Ex-Date,Symbol, Speed, Reliability, Grade, Dividend, Yield
1/30/2020 12:00:00 AM,AES,5,8,14,$0.14,0.70 %
1/30/2020 12:00:00 AM,AGNC,4.9,7,11.857142857142858,$0.16,0.88 %
1/30/2020 12:00:00 AM,LNT,5,6,6,$0.38,0.67 %
1/30/2020 12:00:00 AM,ALLY,5,8,14,$0.19,0.62 %
1/30/2020 12:00:00 AM,ATLO,5,8,14,$0.24,0.89 %
1/30/2020 12:00:00 AM,AM,4.1,8,13.11111111111111,$0.31,4.15 %
1/30/2020 12:00:00 AM,BRMK,0,0,0,$0.08,0.66 %
1/30/2020 12:00:00 AM,CLDT,4.9,7,11.857142857142858,$0.11,0.61 %
1/30/2020 12:00:00 AM,CLNC,4.9,7,11.857142857142858,$0.10,0.74 %
1/30/2020 12:00:00 AM,CAG,5,4,4,$0.21,0.64 %
1/30/2020 12:00:00 AM,CSWI,0,0,0,$0.14,0.17 %
1/30/2020 12:00:00 AM,DNP,4.9,7,11.857142857142858,$0.07,0.51 %
1/30/2020 12:00:00 AM,EV,5,6,6,$0.38,0.79 %
1/30/2020 12:00:00 AM,EFC,4.9,7,11.857142857142858,$0.15,0.80 %
1/30/2020 12:00:00 AM,ENLC,4.6,9,15.555555555555555,$0.19,3.16 %
1/30/2020 12:00:00 AM,EPD,5,6,6,$0.45,1.55 %
1/30/2020 12:00:00 AM,GEL,5,6,6,$0.55,2.56 %
1/30/2020 12:00:00 AM,GECC,5,5,5,$0.08,1.04 %
1/30/2020 12:00:00 AM,AVAL,4.9,8,13.875,$0.03,0.35 %
1/30/2020 12:00:00 AM,HAS,5,8,14,$0.68,0.65 %
1/30/2020 12:00:00 AM,KFFB,5,6,6,$0.10,1.29 %
1/30/2020 12:00:00 AM,KNOP,4.3,8,13.333333333333332,$0.52,2.50 %
1/30/2020 12:00:00 AM,LW,3.3,6,4.333333333333334,$0.23,0.25 %
1/30/2020 12:00:00 AM,LCUT,5,8,14,$0.04,0.59 %
1/30/2020 12:00:00 AM,MCBS,0,0,0,$0.11,0.58 %
1/30/2020 12:00:00 AM,NNN,5,6,6,$0.52,0.93 %
1/30/2020 12:00:00 AM,NWN,5,6,6,$0.48,0.65 %
1/30/2020 12:00:00 AM,OHI,5,6,6,$0.67,1.55 %
1/30/2020 12:00:00 AM,PFE,2.2,4,1.2222222222222223,$0.38,0.94 %
1/30/2020 12:00:00 AM,PAA,4.6,7,11.571428571428571,$0.36,1.90 %
1/30/2020 12:00:00 AM,PAGP,5,6,6,$0.36,1.87 %
1/30/2020 12:00:00 AM,PSEC,4.9,8,13.875,$0.06,0.91 %
1/30/2020 12:00:00 AM,REVG,3.8,4,2.8,$0.05,0.45 %
1/30/2020 12:00:00 AM,SCHL,5,7,12,$0.15,0.41 %
1/30/2020 12:00:00 AM,STAG,4.9,7,11.857142857142858,$0.12,0.37 %
1/30/2020 12:00:00 AM,SCM,4.9,7,11.857142857142858,$0.11,0.78 %
1/30/2020 12:00:00 AM,SKT,5,6,6,$0.35,2.31 %
1/30/2020 12:00:00 AM,VET,4.9,7,11.857142857142858,$0.18,1.08 %
1/30/2020 12:00:00 AM,VRTS,5,6,6,$0.67,0.52 %
Ex-Date,Symbol, Speed, Reliability, Grade, Dividend, Yield
1/31/2020 12:00:00 AM,AON,5,8,14,$0.44,0.21 %
1/31/2020 12:00:00 AM,APOG,5,4,4,$0.19,0.54 %
1/31/2020 12:00:00 AM,BMO,5,8,14,$0.82,1.03 %
1/31/2020 12:00:00 AM,CASY,5,8,14,$0.32,0.19 %
1/31/2020 12:00:00 AM,C,2.8,5,2.7777777777777777,$0.51,0.63 %
1/31/2020 12:00:00 AM,DGICA,5,8,14,$0.14,1.00 %
1/31/2020 12:00:00 AM,DGICB,5,8,14,$0.13,0.99 %
1/31/2020 12:00:00 AM,GT,5,8,14,$0.16,1.07 %
1/31/2020 12:00:00 AM,PNW,5,8,14,$0.78,0.84 %
1/31/2020 12:00:00 AM,PNM,4.4,7,11.375,$0.31,0.60 %
1/31/2020 12:00:00 AM,O,4.7,7,11.714285714285715,$0.23,0.30 %
